[LOG]Added St#1 	Position(264,15009) 	 to the Quad Tree.
[LOG]Added St#4361 	Position(72747,3751) 	 to the Quad Tree.
[LOG]Added St#4362 	Position(73308,3780) 	 to the Quad Tree.
[LOG]Added St#4363 	Position(73822,3792) 	 to the Quad Tree.
[LOG]Added St#4364 	Position(74394,3798) 	 to the Quad Tree.
[LOG]Added St#4365 	Position(74913,3756) 	 to the Quad Tree.
[LOG]Added St#4366 	Position(75440,3763) 	 to the Quad Tree.
[LOG]Added St#4367 	Position(76000,3795) 	 to the Quad Tree.
[LOG]Added St#4368 	Position(76514,3756) 	 to the Quad Tree.
[LOG]Added St#4369 	Position(77077,3755) 	 to the Quad Tree.
[LOG]Added St#4370 	Position(77638,3774) 	 to the Quad Tree.
[LOG]Added St#4371 	Position(78181,3779) 	 to the Quad Tree.
[LOG]Added St#4372 	Position(78714,3753) 	 to the Quad Tree.
[LOG]Added St#4373 	Position(79243,3776) 	 to the Quad Tree.
[LOG]Added St#4374 	Position(79796,3796) 	 to the Quad Tree.
[LOG]Added St#4375 	Position(259,4308) 	 to the Quad Tree.
[LOG]Added St#4376 	Position(801,4337) 	 to the Quad Tree.
[LOG]Added St#4377 	Position(1336,4311) 	 to the Quad Tree.
[LOG]Added St#4378 	Position(1889,4330) 	 to the Quad Tree.
[LOG]Added St#4379 	Position(2436,4313) 	 to the Quad Tree.
[LOG]Added St#4380 	Position(2974,4303) 	 to the Quad Tree.
[LOG]Added St#4381 	Position(3485,4308) 	 to the Quad Tree.
[LOG]Added St#4382 	Position(4032,4327) 	 to the Quad Tree.
[LOG]Added St#4383 	Position(4585,4296) 	 to the Quad Tree.
[LOG]Added St#4384 	Position(5094,4296) 	 to the Quad Tree.
[LOG]Added St#4385 	Position(5647,4307) 	 to the Quad Tree.
[LOG]Added St#4386 	Position(6184,4329) 	 to the Quad Tree.
[LOG]Added St#4387 	Position(6752,4317) 	 to the Quad Tree.
[LOG]Added St#4388 	Position(7278,4314) 	 to the Quad Tree.
[LOG]Added St#4389 	Position(7791,4303) 	 to the Quad Tree.
[LOG]Added St#4390 	Position(8337,4320) 	 to the Quad Tree.
[LOG]Added St#4391 	Position(8894,4329) 	 to the Quad Tree.
[LOG]Added St#4392 	Position(9444,4312) 	 to the Quad Tree.
[LOG]Added St#4393 	Position(9986,4288) 	 to the Quad Tree.
[LOG]Added St#4394 	Position(10508,4297) 	 to the Quad Tree.
[LOG]Added St#4395 	Position(11040,4310) 	 to the Quad Tree.
[LOG]Added St#4396 	Position(11597,4296) 	 to the Quad Tree.
[LOG]Added St#4397 	Position(12100,4322) 	 to the Quad Tree.
[LOG]Added St#4398 	Position(12673,4286) 	 to the Quad Tree.
[LOG]Added St#4399 	Position(13231,4328) 	 to the Quad Tree.
[LOG]Added St#4400 	Position(13721,4290) 	 to the Quad Tree.
[LOG]Added St#4401 	Position(14291,4318) 	 to the Quad Tree.
[LOG]Added St#4402 	Position(14806,4327) 	 to the Quad Tree.
[LOG]Added St#4403 	Position(15365,4304) 	 to the Quad Tree.
[LOG]Added St#4404 	Position(15882,4308) 	 to the Quad Tree.
[LOG]Added St#4405 	Position(16444,4290) 	 to the Quad Tree.
[LOG]Added St#4406 	Position(16954,4310) 	 to the Quad Tree.
[LOG]Added St#4407 	Position(17524,4329) 	 to the Quad Tree.
[LOG]Added St#4408 	Position(18082,4330) 	 to the Quad Tree.
[LOG]Added St#4409 	Position(18617,4288) 	 to the Quad Tree.
[LOG]Added St#4410 	Position(19115,4316) 	 to the Quad Tree.
[LOG]Added St#4411 	Position(19655,4335) 	 to the Quad Tree.
[LOG]Added St#4412 	Position(20227,4285) 	 to the Quad Tree.
[LOG]Added St#4413 	Position(20748,4320) 	 to the Quad Tree.
[LOG]Added St#4414 	Position(21292,4285) 	 to the Quad Tree.
[LOG]Added St#4415 	Position(21837,4331) 	 to the Quad Tree.
[LOG]Added St#4416 	Position(22351,4295) 	 to the Quad Tree.
[LOG]Added St#4417 	Position(22892,4327) 	 to the Quad Tree.
[LOG]Added St#4418 	Position(23436,4314) 	 to the Quad Tree.
[LOG]Added St#4419 	Position(24004,4296) 	 to the Quad Tree.
[LOG]Added St#4420 	Position(24506,4329) 	 to the Quad Tree.
[LOG]Added St#4421 	Position(25051,4301) 	 to the Quad Tree.
[LOG]Added St#4422 	Position(25596,4303) 	 to the Quad Tree.
[LOG]Added St#4423 	Position(26129,4327) 	 to the Quad Tree.
[LOG]Added St#4424 	Position(26665,4326) 	 to the Quad Tree.
[LOG]Added St#4425 	Position(27233,4332) 	 to the Quad Tree.
[LOG]Added St#4426 	Position(27739,4305) 	 to the Quad Tree.
[LOG]Added St#4427 	Position(28270,4330) 	 to the Quad Tree.
[LOG]Added St#4428 	Position(28809,4298) 	 to the Quad Tree.
[LOG]Added St#4429 	Position(29388,4322) 	 to the Quad Tree.
[LOG]Added St#4430 	Position(29914,4327) 	 to the Quad Tree.
[LOG]Added St#4431 	Position(30469,4336) 	 to the Quad Tree.
[LOG]Added St#4432 	Position(31004,4322) 	 to the Quad Tree.
[LOG]Added St#4433 	Position(31537,4337) 	 to the Quad Tree.
[LOG]Added St#4434 	Position(32065,4317) 	 to the Quad Tree.
[LOG]Added St#4435 	Position(32611,4291) 	 to the Quad Tree.
[LOG]Added St#4436 	Position(33161,4303) 	 to the Quad Tree.
[LOG]Added St#4437 	Position(33661,4306) 	 to the Quad Tree.
[LOG]Added St#4438 	Position(34251,4328) 	 to the Quad Tree.
[LOG]Added St#4439 	Position(34766,4294) 	 to the Quad Tree.
[LOG]Added St#4440 	Position(35307,4323) 	 to the Quad Tree.
[LOG]Added St#4441 	Position(35847,4329) 	 to the Quad Tree.
[LOG]Added St#4442 	Position(36387,4293) 	 to the Quad Tree.
[LOG]Added St#4443 	Position(36941,4326) 	 to the Quad Tree.
[LOG]Added St#4444 	Position(37452,4331) 	 to the Quad Tree.
[LOG]Added St#4445 	Position(38001,4303) 	 to the Quad Tree.
[LOG]Added St#4446 	Position(38553,4331) 	 to the Quad Tree.
[LOG]Added St#4447 	Position(39093,4291) 	 to the Quad Tree.
[LOG]Added St#4448 	Position(39619,4306) 	 to the Quad Tree.
[LOG]Added St#4449 	Position(40156,4287) 	 to the Quad Tree.
[LOG]Added St#4450 	Position(40703,4293) 	 to the Quad Tree.
[LOG]Added St#4451 	Position(41251,4293) 	 to the Quad Tree.
[LOG]Added St#4452 	Position(41779,4288) 	 to the Quad Tree.
[LOG]Added St#4453 	Position(42289,4305) 	 to the Quad Tree.
[LOG]Added St#4454 	Position(42850,4295) 	 to the Quad Tree.
[LOG]Added St#4455 	Position(43397,4334) 	 to the Quad Tree.
[LOG]Added St#4456 	Position(43925,4310) 	 to the Quad Tree.
[LOG]Added St#4457 	Position(44461,4316) 	 to the Quad Tree.
[LOG]Added St#4458 	Position(45000,4298) 	 to the Quad Tree.
[LOG]Added St#4459 	Position(45533,4288) 	 to the Quad Tree.
[LOG]Added St#4460 	Position(46086,4321) 	 to the Quad Tree.
[LOG]Added St#4461 	Position(46627,4315) 	 to the Quad Tree.
[LOG]Added St#4462 	Position(47172,4296) 	 to the Quad Tree.
[LOG]Added St#4463 	Position(47717,4296) 	 to the Quad Tree.
[LOG]Added St#4464 	Position(48222,4324) 	 to the Quad Tree.
[LOG]Added St#4465 	Position(48776,4287) 	 to the Quad Tree.
[LOG]Added St#4466 	Position(49327,4286) 	 to the Quad Tree.
[LOG]Added St#4467 	Position(49837,4292) 	 to the Quad Tree.
[LOG]Added St#4468 	Position(50392,4310) 	 to the Quad Tree.
[LOG]Added St#4469 	Position(50930,4336) 	 to the Quad Tree.
[LOG]Added St#4470 	Position(51469,4315) 	 to the Quad Tree.
[LOG]Added St#4471 	Position(51993,4313) 	 to the Quad Tree.
[LOG]Added St#4472 	Position(52565,4315) 	 to the Quad Tree.
[LOG]Added St#4473 	Position(53078,4310) 	 to the Quad Tree.
[LOG]Added St#4474 	Position(53647,4326) 	 to the Quad Tree.
[LOG]Added St#4475 	Position(54192,4313) 	 to the Quad Tree.
[LOG]Added St#4476 	Position(54734,4336) 	 to the Quad Tree.
[LOG]Added St#4477 	Position(55257,4296) 	 to the Quad Tree.
[LOG]Added St#4478 	Position(55788,4307) 	 to the Quad Tree.
[LOG]Added St#4479 	Position(56308,4320) 	 to the Quad Tree.
[LOG]Added St#4480 	Position(56866,4324) 	 to the Quad Tree.
[LOG]Added St#4481 	Position(57403,4330) 	 to the Quad Tree.
[LOG]Added St#4482 	Position(57940,4295) 	 to the Quad Tree.
[LOG]Added St#4483 	Position(58469,4303) 	 to the Quad Tree.
[LOG]Added St#4484 	Position(59030,4331) 	 to the Quad Tree.
[LOG]Added St#4485 	Position(59548,4297) 	 to the Quad Tree.
[LOG]Added St#4486 	Position(60110,4329) 	 to the Quad Tree.
[LOG]Added St#4487 	Position(60635,4338) 	 to the Quad Tree.
[LOG]Added St#4488 	Position(61150,4333) 	 to the Quad Tree.
[LOG]Added St#4489 	Position(61730,4312) 	 to the Quad Tree.
[LOG]Added St#4490 	Position(62263,4291) 	 to the Quad Tree.
[LOG]Added St#4491 	Position(62790,4310) 	 to the Quad Tree.
[LOG]Added St#4492 	Position(63355,4336) 	 to the Quad Tree.
[LOG]Added St#4493 	Position(63878,4303) 	 to the Quad Tree.
[LOG]Added St#4494 	Position(64404,4295) 	 to the Quad Tree.
[LOG]Added St#4495 	Position(64945,4309) 	 to the Quad Tree.
[LOG]Added St#4496 	Position(65513,4298) 	 to the Quad Tree.
[LOG]Added St#4497 	Position(66029,4314) 	 to the Quad Tree.
[LOG]Added St#4498 	Position(66586,4290) 	 to the Quad Tree.
[LOG]Added St#4499 	Position(67079,4316) 	 to the Quad Tree.
[LOG]Added St#4500 	Position(67664,4337) 	 to the Quad Tree.
[LOG]Added St#4501 	Position(68188,4337) 	 to the Quad Tree.
[LOG]Added St#4502 	Position(68747,4302) 	 to the Quad Tree.
[LOG]Added St#4503 	Position(69275,4302) 	 to the Quad Tree.
[LOG]Added St#4504 	Position(69778,4302) 	 to the Quad Tree.
[LOG]Added St#4505 	Position(70364,4293) 	 to the Quad Tree.
[LOG]Added St#4506 	Position(70880,4290) 	 to the Quad Tree.
[LOG]Added St#4507 	Position(71432,4303) 	 to the Quad Tree.
[LOG]Added St#4508 	Position(71950,4313) 	 to the Quad Tree.
[LOG]Added St#4509 	Position(72519,4302) 	 to the Quad Tree.
[LOG]Added St#4510 	Position(73043,4321) 	 to the Quad Tree.
[LOG]Added St#4511 	Position(73587,4297) 	 to the Quad Tree.
[LOG]Added St#4512 	Position(74110,4292) 	 to the Quad Tree.
[LOG]Added St#4513 	Position(74633,4333) 	 to the Quad Tree.
[LOG]Added St#4514 	Position(75178,4302) 	 to the Quad Tree.
[LOG]Added St#4515 	Position(75733,4331) 	 to the Quad Tree.
[LOG]Added St#4516 	Position(76287,4316) 	 to the Quad Tree.
[LOG]Added St#4517 	Position(76825,4330) 	 to the Quad Tree.
[LOG]Added St#4518 	Position(77342,4307) 	 to the Quad Tree.
[LOG]Added St#4519 	Position(77887,4294) 	 to the Quad Tree.
[LOG]Added St#4520 	Position(78426,4324) 	 to the Quad Tree.
[LOG]Added St#4521 	Position(78959,4322) 	 to the Quad Tree.
[LOG]Added St#4522 	Position(79488,4303) 	 to the Quad Tree.
[LOG]Added St#4523 	Position(-2,4836) 	 to the Quad Tree.
[LOG]Added St#4524 	Position(564,4831) 	 to the Quad Tree.
[LOG]Added St#4525 	Position(1078,4864) 	 to the Quad Tree.
[LOG]Added St#4526 	Position(1626,4872) 	 to the Quad Tree.
[LOG]Added St#4527 	Position(2161,4876) 	 to the Quad Tree.
[LOG]Added St#4528 	Position(2670,4847) 	 to the Quad Tree.
[LOG]Added St#4529 	Position(3252,4857) 	 to the Quad Tree.
[LOG]Added St#4530 	Position(3798,4825) 	 to the Quad Tree.
[LOG]Added St#4531 	Position(4331,4870) 	 to the Quad Tree.
[LOG]Added St#4532 	Position(4871,4835) 	 to the Quad Tree.
[LOG]Added St#4533 	Position(5412,4874) 	 to the Quad Tree.
[LOG]Added St#4534 	Position(5950,4873) 	 to the Quad Tree.
[LOG]Added St#4535 	Position(6476,4867) 	 to the Quad Tree.
[LOG]Added St#4536 	Position(7028,4843) 	 to the Quad Tree.
[LOG]Added St#4537 	Position(7533,4870) 	 to the Quad Tree.
[LOG]Added St#4538 	Position(8067,4873) 	 to the Quad Tree.
[LOG]Added St#4539 	Position(8625,4869) 	 to the Quad Tree.
[LOG]Added St#4540 	Position(9144,4877) 	 to the Quad Tree.
[LOG]Added St#4541 	Position(9714,4841) 	 to the Quad Tree.
[LOG]Added St#4542 	Position(10224,4840) 	 to the Quad Tree.
[LOG]Added St#4543 	Position(10757,4843) 	 to the Quad Tree.
[LOG]Added St#4544 	Position(11315,4857) 	 to the Quad Tree.
[LOG]Added St#4545 	Position(11857,4831) 	 to the Quad Tree.
[LOG]Added St#4546 	Position(12396,4875) 	 to the Quad Tree.
[LOG]Added St#4547 	Position(12911,4830) 	 to the Quad Tree.
[LOG]Added St#4548 	Position(13460,4834) 	 to the Quad Tree.
[LOG]Added St#4549 	Position(14009,4853) 	 to the Quad Tree.
[LOG]Added St#4550 	Position(14577,4831) 	 to the Quad Tree.
[LOG]Added St#4551 	Position(15072,4841) 	 to the Quad Tree.
[LOG]Added St#4552 	Position(15652,4876) 	 to the Quad Tree.
[LOG]Added St#4553 	Position(16143,4826) 	 to the Quad Tree.
[LOG]Added St#4554 	Position(16721,4847) 	 to the Quad Tree.
[LOG]Added St#4555 	Position(17256,4852) 	 to the Quad Tree.
[LOG]Added St#4556 	Position(17777,4863) 	 to the Quad Tree.
[LOG]Added St#4557 	Position(18327,4829) 	 to the Quad Tree.
[LOG]Added St#4558 	Position(18867,4826) 	 to the Quad Tree.
[LOG]Added St#4559 	Position(19416,4868) 	 to the Quad Tree.
[LOG]Added St#4560 	Position(19945,4829) 	 to the Quad Tree.
[LOG]Added St#4561 	Position(20506,4855) 	 to the Quad Tree.
[LOG]Added St#4562 	Position(20995,4831) 	 to the Quad Tree.
[LOG]Added St#4563 	Position(21552,4856) 	 to the Quad Tree.
[LOG]Added St#4564 	Position(22110,4844) 	 to the Quad Tree.
[LOG]Added St#4565 	Position(22633,4856) 	 to the Quad Tree.
[LOG]Added St#4566 	Position(23160,4870) 	 to the Quad Tree.
[LOG]Added St#4567 	Position(23694,4870) 	 to the Quad Tree.
[LOG]Added St#4568 	Position(24246,4826) 	 to the Quad Tree.
[LOG]Added St#4569 	Position(24769,4866) 	 to the Quad Tree.
[LOG]Added St#4570 	Position(25319,4848) 	 to the Quad Tree.
[LOG]Added St#4571 	Position(25865,4841) 	 to the Quad Tree.
[LOG]Added St#4572 	Position(26398,4825) 	 to the Quad Tree.
[LOG]Added St#4573 	Position(26976,4873) 	 to the Quad Tree.
[LOG]Added St#4574 	Position(27481,4833) 	 to the Quad Tree.
[LOG]Added St#4575 	Position(28030,4858) 	 to the Quad Tree.
[LOG]Added St#4576 	Position(28562,4832) 	 to the Quad Tree.
[LOG]Added St#4577 	Position(29079,4838) 	 to the Quad Tree.
[LOG]Added St#4578 	Position(29660,4875) 	 to the Quad Tree.
[LOG]Added St#4579 	Position(30160,4877) 	 to the Quad Tree.
[LOG]Added St#4580 	Position(30730,4850) 	 to the Quad Tree.
[LOG]Added St#4581 	Position(31279,4839) 	 to the Quad Tree.
[LOG]Added St#4582 	Position(31817,4828) 	 to the Quad Tree.
[LOG]Added St#4583 	Position(32350,4829) 	 to the Quad Tree.
[LOG]Added St#4584 	Position(32905,4860) 	 to the Quad Tree.
[LOG]Added St#4585 	Position(33403,4840) 	 to the Quad Tree.
[LOG]Added St#4586 	Position(33939,4825) 	 to the Quad Tree.
[LOG]Added St#4587 	Position(34487,4860) 	 to the Quad Tree.
[LOG]Added St#4588 	Position(35030,4867) 	 to the Quad Tree.
[LOG]Added St#4589 	Position(35591,4827) 	 to the Quad Tree.
[LOG]Added St#4590 	Position(36134,4865) 	 to the Quad Tree.
[LOG]Added St#4591 	Position(36636,4867) 	 to the Quad Tree.
[LOG]Added St#4592 	Position(37164,4846) 	 to the Quad Tree.
[LOG]Added St#4593 	Position(37707,4838) 	 to the Quad Tree.
[LOG]Added St#4594 	Position(38283,4870) 	 to the Quad Tree.
[LOG]Added St#4595 	Position(38811,4861) 	 to the Quad Tree.
[LOG]Added St#4596 	Position(39347,4836) 	 to the Quad Tree.
[LOG]Added St#4597 	Position(39877,4867) 	 to the Quad Tree.
[LOG]Added St#4598 	Position(40430,4852) 	 to the Quad Tree.
[LOG]Added St#4599 	Position(40978,4870) 	 to the Quad Tree.
[LOG]Added St#4600 	Position(41476,4848) 	 to the Quad Tree.
[LOG]Added St#4601 	Position(42056,4833) 	 to the Quad Tree.
[LOG]Added St#4602 	Position(42554,4842) 	 to the Quad Tree.
[LOG]Added St#4603 	Position(43102,4871) 	 to the Quad Tree.
[LOG]Added St#4604 	Position(43664,4831) 	 to the Quad Tree.
[LOG]Added St#4605 	Position(44210,4828) 	 to the Quad Tree.
[LOG]Added St#4606 	Position(44713,4833) 	 to the Quad Tree.
[LOG]Added St#4607 	Position(45251,4841) 	 to the Quad Tree.
[LOG]Added St#4608 	Position(45830,4829) 	 to the Quad Tree.
[LOG]Added St#4609 	Position(46375,4869) 	 to the Quad Tree.
[LOG]Added St#4610 	Position(46902,4842) 	 to the Quad Tree.
[LOG]Added St#4611 	Position(47444,4841) 	 to the Quad Tree.
[LOG]Added St#4612 	Position(47950,4852) 	 to the Quad Tree.
[LOG]Added St#4613 	Position(48483,4826) 	 to the Quad Tree.
[LOG]Added St#4614 	Position(49047,4842) 	 to the Quad Tree.
[LOG]Added St#4615 	Position(49612,4835) 	 to the Quad Tree.
[LOG]Added St#4616 	Position(50101,4875) 	 to the Quad Tree.
[LOG]Added St#4617 	Position(50640,4860) 	 to the Quad Tree.
[LOG]Added St#4618 	Position(51198,4832) 	 to the Quad Tree.
[LOG]Added St#4619 	Position(51767,4824) 	 to the Quad Tree.
[LOG]Added St#4620 	Position(52283,4841) 	 to the Quad Tree.
[LOG]Added St#4621 	Position(52831,4842) 	 to the Quad Tree.
[LOG]Added St#4622 	Position(53344,4859) 	 to the Quad Tree.
[LOG]Added St#4623 	Position(53882,4863) 	 to the Quad Tree.
[LOG]Added St#4624 	Position(54443,4838) 	 to the Quad Tree.
[LOG]Added St#4625 	Position(54970,4855) 	 to the Quad Tree.
[LOG]Added St#4626 	Position(55529,4846) 	 to the Quad Tree.
[LOG]Added St#4627 	Position(56043,4875) 	 to the Quad Tree.
[LOG]Added St#4628 	Position(56614,4862) 	 to the Quad Tree.
[LOG]Added St#4629 	Position(57144,4858) 	 to the Quad Tree.
[LOG]Added St#4630 	Position(57664,4875) 	 to the Quad Tree.
[LOG]Added St#4631 	Position(58224,4834) 	 to the Quad Tree.
[LOG]Added St#4632 	Position(58766,4825) 	 to the Quad Tree.
[LOG]Added St#4633 	Position(59272,4851) 	 to the Quad Tree.
[LOG]Added St#4634 	Position(59843,4845) 	 to the Quad Tree.
[LOG]Added St#4635 	Position(60348,4857) 	 to the Quad Tree.
[LOG]Added St#4636 	Position(60908,4840) 	 to the Quad Tree.
[LOG]Added St#4637 	Position(61424,4869) 	 to the Quad Tree.
[LOG]Added St#4638 	Position(61996,4829) 	 to the Quad Tree.
[LOG]Added St#4639 	Position(62499,4870) 	 to the Quad Tree.
[LOG]Added St#4640 	Position(63065,4854) 	 to the Quad Tree.
[LOG]Added St#4641 	Position(63609,4856) 	 to the Quad Tree.
[LOG]Added St#4642 	Position(64115,4870) 	 to the Quad Tree.
[LOG]Added St#4643 	Position(64678,4835) 	 to the Quad Tree.
[LOG]Added St#4644 	Position(65219,4831) 	 to the Quad Tree.
[LOG]Added St#4645 	Position(65731,4827) 	 to the Quad Tree.
[LOG]Added St#4646 	Position(66303,4837) 	 to the Quad Tree.
[LOG]Added St#4647 	Position(66832,4866) 	 to the Quad Tree.
[LOG]Added St#4648 	Position(67361,4874) 	 to the Quad Tree.
[LOG]Added St#4649 	Position(67922,4834) 	 to the Quad Tree.
[LOG]Added St#4650 	Position(68436,4842) 	 to the Quad Tree.
[LOG]Added St#4651 	Position(68992,4839) 	 to the Quad Tree.
[LOG]Added St#4652 	Position(69504,4844) 	 to the Quad Tree.
[LOG]Added St#4653 	Position(70084,4855) 	 to the Quad Tree.
[LOG]Added St#4654 	Position(70608,4843) 	 to the Quad Tree.
[LOG]Added St#4655 	Position(71122,4835) 	 to the Quad Tree.
[LOG]Added St#4656 	Position(71668,4855) 	 to the Quad Tree.
[LOG]Added St#4657 	Position(72247,4826) 	 to the Quad Tree.
[LOG]Added St#4658 	Position(72782,4848) 	 to the Quad Tree.
[LOG]Added St#4659 	Position(73327,4862) 	 to the Quad Tree.
[LOG]Added St#4660 	Position(73826,4858) 	 to the Quad Tree.
[LOG]Added St#4661 	Position(74401,4837) 	 to the Quad Tree.
[LOG]Added St#4662 	Position(74905,4866) 	 to the Quad Tree.
[LOG]Added St#4663 	Position(75449,4842) 	 to the Quad Tree.
[LOG]Added St#4664 	Position(76002,4872) 	 to the Quad Tree.
[LOG]Added St#4665 	Position(76512,4828) 	 to the Quad Tree.
[LOG]Added St#4666 	Position(77099,4868) 	 to the Quad Tree.
[LOG]Added St#4667 	Position(77600,4849) 	 to the Quad Tree.
[LOG]Added St#4668 	Position(78156,4832) 	 to the Quad Tree.
[LOG]Added St#4669 	Position(78703,4869) 	 to the Quad Tree.
[LOG]Added St#4670 	Position(79240,4845) 	 to the Quad Tree.
[LOG]Added St#4671 	Position(79756,4861) 	 to the Quad Tree.
[LOG]Added St#4672 	Position(261,5415) 	 to the Quad Tree.
[LOG]Added St#4673 	Position(815,5383) 	 to the Quad Tree.
[LOG]Added St#4674 	Position(1325,5367) 	 to the Quad Tree.
[LOG]Added St#4675 	Position(1901,5379) 	 to the Quad Tree.
[LOG]Added St#4676 	Position(2442,5367) 	 to the Quad Tree.
[LOG]Added St#4677 	Position(2989,5416) 	 to the Quad Tree.
[LOG]Added St#4678 	Position(3505,5367) 	 to the Quad Tree.
[LOG]Added St#4679 	Position(4061,5399) 	 to the Quad Tree.
[LOG]Added St#4680 	Position(4581,5383) 	 to the Quad Tree.
[LOG]Added St#4681 	Position(5144,5367) 	 to the Quad Tree.
[LOG]Added St#4682 	Position(5678,5373) 	 to the Quad Tree.
[LOG]Added St#4683 	Position(6215,5416) 	 to the Quad Tree.
[LOG]Added St#4684 	Position(6721,5399) 	 to the Quad Tree.
[LOG]Added St#4685 	Position(7279,5384) 	 to the Quad Tree.
[LOG]Added St#4686 	Position(7810,5406) 	 to the Quad Tree.
[LOG]Added St#4687 	Position(8328,5394) 	 to the Quad Tree.
[LOG]Added St#4688 	Position(8893,5381) 	 to the Quad Tree.
[LOG]Added St#4689 	Position(9426,5392) 	 to the Quad Tree.
[LOG]Added St#4690 	Position(9965,5404) 	 to the Quad Tree.
[LOG]Added St#4691 	Position(10501,5394) 	 to the Quad Tree.
[LOG]Added St#4692 	Position(11027,5398) 	 to the Quad Tree.
[LOG]Added St#4693 	Position(11601,5400) 	 to the Quad Tree.
[LOG]Added St#4694 	Position(12132,5397) 	 to the Quad Tree.
[LOG]Added St#4695 	Position(12675,5393) 	 to the Quad Tree.
[LOG]Added St#4696 	Position(13222,5392) 	 to the Quad Tree.
[LOG]Added St#4697 	Position(13768,5381) 	 to the Quad Tree.
[LOG]Added St#4698 	Position(14271,5382) 	 to the Quad Tree.
[LOG]Added St#4699 	Position(14797,5416) 	 to the Quad Tree.
[LOG]Added St#4700 	Position(15349,5366) 	 to the Quad Tree.
[LOG]Added St#4701 	Position(15901,5382) 	 to the Quad Tree.
[LOG]Added St#4702 	Position(16451,5403) 	 to the Quad Tree.
[LOG]Added St#4703 	Position(16953,5364) 	 to the Quad Tree.
[LOG]Added St#4704 	Position(17535,5386) 	 to the Quad Tree.
[LOG]Added St#4705 	Position(18040,5374) 	 to the Quad Tree.
[LOG]Added St#4706 	Position(18620,5363) 	 to the Quad Tree.
[LOG]Added St#4707 	Position(19153,5370) 	 to the Quad Tree.
[LOG]Added St#4708 	Position(19694,5397) 	 to the Quad Tree.
[LOG]Added St#4709 	Position(20213,5384) 	 to the Quad Tree.
[LOG]Added St#4710 	Position(20762,5384) 	 to the Quad Tree.
[LOG]Added St#4711 	Position(21274,5387) 	 to the Quad Tree.
[LOG]Added St#4712 	Position(21854,5373) 	 to the Quad Tree.
[LOG]Added St#4713 	Position(22379,5363) 	 to the Quad Tree.
[LOG]Added St#4714 	Position(22921,5406) 	 to the Quad Tree.
[LOG]Added St#4715 	Position(23421,5385) 	 to the Quad Tree.
[LOG]Added St#4716 	Position(23986,5365) 	 to the Quad Tree.
[LOG]Added St#4717 	Position(24535,5385) 	 to the Quad Tree.
[LOG]Added St#4718 	Position(25043,5370) 	 to the Quad Tree.
[LOG]Added St#4719 	Position(25625,5412) 	 to the Quad Tree.
[LOG]Added St#4720 	Position(26157,5388) 	 to the Quad Tree.
[LOG]Added St#4721 	Position(26699,5393) 	 to the Quad Tree.
[LOG]Added St#4722 	Position(27236,5393) 	 to the Quad Tree.
[LOG]Added St#4723 	Position(27753,5384) 	 to the Quad Tree.
[LOG]Added St#4724 	Position(28304,5381) 	 to the Quad Tree.
[LOG]Added St#4725 	Position(28811,5404) 	 to the Quad Tree.
[LOG]Added St#4726 	Position(29391,5382) 	 to the Quad Tree.
[LOG]Added St#4727 	Position(29896,5389) 	 to the Quad Tree.
[LOG]Added St#4728 	Position(30450,5391) 	 to the Quad Tree.
[LOG]Added St#4729 	Position(30976,5409) 	 to the Quad Tree.
[LOG]Added St#4730 	Position(31505,5367) 	 to the Quad Tree.
[LOG]Added St#4731 	Position(32075,5378) 	 to the Quad Tree.
[LOG]Added St#4732 	Position(32631,5383) 	 to the Quad Tree.
[LOG]Added St#4733 	Position(33126,5365) 	 to the Quad Tree.
[LOG]Added St#4734 	Position(33668,5389) 	 to the Quad Tree.
[LOG]Added St#4735 	Position(34231,5370) 	 to the Quad Tree.
[LOG]Added St#4736 	Position(34739,5406) 	 to the Quad Tree.
[LOG]Added St#4737 	Position(35315,5413) 	 to the Quad Tree.
[LOG]Added St#4738 	Position(35836,5403) 	 to the Quad Tree.
[LOG]Added St#4739 	Position(36383,5391) 	 to the Quad Tree.
[LOG]Added St#4740 	Position(36912,5376) 	 to the Quad Tree.
[LOG]Added St#4741 	Position(37435,5391) 	 to the Quad Tree.
[LOG]Added St#4742 	Position(38020,5402) 	 to the Quad Tree.
[LOG]Added St#4743 	Position(38525,5370) 	 to the Quad Tree.
[LOG]Added St#4744 	Position(39060,5410) 	 to the Quad Tree.
[LOG]Added St#4745 	Position(39590,5406) 	 to the Quad Tree.
[LOG]Added St#4746 	Position(40160,5380) 	 to the Quad Tree.
[LOG]Added St#4747 	Position(40684,5370) 	 to the Quad Tree.
[LOG]Added St#4748 	Position(41231,5393) 	 to the Quad Tree.
[LOG]Added St#4749 	Position(41791,5397) 	 to the Quad Tree.
[LOG]Added St#4750 	Position(42287,5407) 	 to the Quad Tree.
[LOG]Added St#4751 	Position(42863,5400) 	 to the Quad Tree.
[LOG]Added St#4752 	Position(43371,5381) 	 to the Quad Tree.
[LOG]Added St#4753 	Position(43932,5415) 	 to the Quad Tree.
[LOG]Added St#4754 	Position(44452,5408) 	 to the Quad Tree.
[LOG]Added St#4755 	Position(44979,5376) 	 to the Quad Tree.
[LOG]Added St#4756 	Position(45537,5383) 	 to the Quad Tree.
[LOG]Added St#4757 	Position(46066,5373) 	 to the Quad Tree.
[LOG]Added St#4758 	Position(46597,5387) 	 to the Quad Tree.
[LOG]Added St#4759 	Position(47139,5368) 	 to the Quad Tree.
